Number of iterations;200;;;;
Reserve;70;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;949.9315284644962;896.4270362992811;448.34262153550384;3.1914730580143225
1;PiratesBB;880.5833755065003;938.5124806869112;364.14822449349964;2.6457120476360187
2;PiratesBB;781.9702472728696;922.0633705814824;278.4322027271304;2.2719793178083543
3;PiratesBB;947.7344607891745;916.4707594303582;397.03198921082566;2.825913449543505
4;PiratesBB;910.2729878387358;973.4011599928498;392.42876216126433;2.862633165021569
5;Seller;4470.492599871775;2007.5584489061134;0;0
