Number of iterations;20;;;;
Reserve;40;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;Truthful;873.7255000000001;696.4885893356403;132.5345;5.7700196240459185
1;Truthful;960.6905;1198.8792345790087;81.816;4.498006998660629
2;Truthful;973.557;995.2344123677597;109.523;4.796996008180536
3;Truthful;931.2155;1001.4183082232668;182.96;17.842519595057194
4;Truthful;1445.8470000000002;1328.5002009789084;157.76100000000002;8.944420618324028
5;Truthful;1084.877;1315.4213101364137;107.79100000000001;7.092342266310898
6;Truthful;1350.8395;1167.0289665705604;102.43499999999999;6.722280209311421
7;Truthful;1364.1775;1401.0877929447356;141.916;11.11112545874629
8;Truthful;849.5020000000001;758.6514822077395;94.4515;5.527050918607047
9;Truthful;770.9235000000001;1082.426752511573;86.2885;5.179054926516517
10;Seller;10605.355;1127.2982305871858;0;0
