Number of iterations;200;-;-;-;-
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;Truthful;1352.9005499999998;1101.0271162465517;331.6035;1.7852732351012122
1;Truthful;1275.42365;1205.2792851999823;300.67445;1.7350736366052137
2;Truthful;1242.8897;1115.0546598175852;343.52824999999996;2.098024248998552
3;Truthful;1298.73045;1091.9365689692318;345.79155;1.8393592963386578
4;Truthful;1201.6227000000001;1165.2026196248917;349.42195;2.0373496531995783
5;Seller;6371.56705;1376.4837102682313;0;0
