Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;558.49196;679.5809311852107;184.77946;0.44871349489627943
1;Truthful;1061.2564650000002;1132.5050409918235;134.551935;0.3944013152992431
2;Truthful;1021.1099600000001;1111.1374544653545;122.63802;0.34828083272686466
3;Truthful;1021.8307000000001;1110.1459196967357;127.84490000000001;0.3591141534854341
4;Truthful;1136.7573;1167.1655832932013;139.6371;0.3868175419664419
5;Truthful;1049.42526;1141.3254884371315;130.72048;0.3668844503055129
6;Truthful;1165.53353;1171.8737843784374;147.14258999999998;0.42284666701674206
7;Truthful;958.774625;1082.5022074949977;117.467375;0.364560144886119
8;Truthful;1024.65497;1086.9666770007946;130.52317;0.37384171465528615
9;Truthful;1098.4903800000002;1149.8307340626293;133.64866;0.4027263565239027
10;Seller;10096.32515;1405.6746512256236;0;0
